LAMMPS data file via write_data, version 17 Nov 2016, timestep = 1660305

1400 atoms
1 atom types

0.0000000000000000e+00 3.4683980833100001e+01 xlo xhi
0.0000000000000000e+00 3.4683980833100001e+01 ylo yhi
0.0000000000000000e+00 3.4683980833100001e+01 zlo zhi

Masses

1 18.0153

Atoms # atomic

1 1 1.9496623384551234e-01 2.4302828019157669e+01 1.8271610764582576e+01 -109 421 6
2 1 1.5563036654590553e+01 1.5204503321406618e+01 2.5801167825398814e+01 0 0 7
3 1 2.7083058789728014e+01 2.1701930053236012e+01 2.8723624871107191e+01 0 0 0
4 1 2.0091057696200543e+00 2.8813745828395991e+01 2.4642255850100856e+01 72 237 0
5 1 2.9287138034761568e+01 2.1141927572961272e+01 1.4968158326133361e+00 0 0 34
6 1 2.1157819547775237e+01 1.0984672274087320e+01 2.4753022798306791e+01 -221 -473 0
7 1 3.2655032557178423e+01 4.8219662538972692e+00 1.5978985091421940e+01 53 123 0
8 1 3.0443085398471361e+01 2.5784845236147351e+01 9.0131605316045249e+00 447 0 -449
9 1 7.9342962583471826e+00 1.7167762224404477e+01 3.9007012095211411e+00 299 0 -218
10 1 9.4699178541562041e+00 7.7352501346456757e+00 2.3343878704217381e+01 155 0 0
11 1 1.4873087185277635e+01 2.2254985731293058e+01 3.2481387052774195e+01 0 1 -436
12 1 4.7206561729953267e-01 3.3090610696829238e+01 7.7403170452324517e+00 24 37 0
13 1 8.4297540144170977e+00 1.3883828828479325e+00 8.3517494569705042e-01 228 211 199
14 1 1.9794080931079199e+00 3.3432531314875767e+01 2.0641739668507633e+01 0 153 0
15 1 2.7425920866447351e-04 7.3974895483918228e+00 3.1617540577778669e+01 128 0 20
16 1 7.6407763563732145e-01 3.4544006699877798e+01 5.3810282569624892e+00 -78 -352 0
17 1 6.8157771534495215e-01 1.2709586514998938e+01 3.2335516953280653e+01 242 0 -7
18 1 2.3268116629973743e+01 1.4674972886864124e+01 4.7731842374953324e+00 48 0 0
19 1 1.7071876348011852e+01 2.2099614403056830e+01 1.9302445734147266e+01 0 0 0
20 1 2.2521269046215458e+01 1.5346983392556856e+01 1.4508423192146839e+01 0 0 -249
21 1 1.0050843573802780e+01 3.8979244992118578e+00 2.8992743298382685e+01 0 120 33
22 1 8.0758608851722737e+00 2.9304296402341080e+01 2.8990725116104926e+01 -161 0 -198
